ticket_id,product,raw_category,normalized_category,issue_description,resolution_notes,priority,normalized_priority,status,channel,region,subscription_type,previous_tickets,customer_satisfaction_score,first_response_time_hours,resolution_time_hours,escalated,sla_breached,issue_complexity_score,customer_segment,expected_department,expected_sources
43144,Web Portal,Account Suspension,account_access,I am unable to access my account after entering the correct credentials.,Data synchronization restored after backend service restart.,Low,low,Pending Customer,Social Media,Africa,Free,17,5,32.29,150.09,Yes,No,1,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
112186,Analytics Dashboard,Account Suspension,account_access,Two-factor authentication codes are not being delivered to my phone.,Explained billing breakdown and clarified applicable charges.,Medium,medium,Pending Customer,Phone,Asia,Free,1,4,30.53,110.95,No,No,10,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md']"
187072,Mobile App,Subscription Cancellation,account_access,I am unable to access my account after entering the correct credentials.,Explained billing breakdown and clarified applicable charges.,Low,low,In Progress,Social Media,Asia,Premium,16,4,47.14,200.7,No,Yes,5,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
144164,API Service,Bug Report,account_access,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Medium,medium,Resolved,Phone,Europe,Basic,6,2,2.97,112.33,No,No,8,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md']"
32944,Subscription Service,Feature Request,account_access,Two-factor authentication codes are not being delivered to my phone.,Subscription status corrected and confirmation email sent to customer.,Medium,medium,In Progress,Web Form,Africa,Basic,20,2,13.57,13.07,Yes,Yes,4,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
128182,CRM Platform,Refund Request,account_access,I am unable to access my account after entering the correct credentials.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,urgent,Open,Phone,Europe,Premium,6,5,54.34,92.57,Yes,No,2,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
166241,CRM Platform,Refund Request,account_access,I am unable to access my account after entering the correct credentials.,Security settings updated and customer notified of precautionary measures.,Medium,medium,Open,Social Media,Australia,Enterprise,18,4,33.34,54.5,Yes,No,6,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
150122,API Service,Subscription Cancellation,account_access,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Low,low,Closed,Web Form,North America,Basic,2,3,10.12,106.08,No,No,2,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md']"
181278,Payment Gateway,Security Concern,account_access,Two-factor authentication codes are not being delivered to my phone.,Subscription status corrected and confirmation email sent to customer.,High,high,In Progress,Web Form,Africa,Free,5,2,2.76,43.94,No,No,5,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
197100,Cloud Storage,Bug Report,account_access,Two-factor authentication codes are not being delivered to my phone.,The issue was escalated to engineering and resolved in the latest patch.,Urgent,urgent,In Progress,Web Form,Africa,Basic,14,4,1.06,148.19,No,Yes,6,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
38006,Cloud Storage,Login Issue,account_access,I am unable to access my account after entering the correct credentials.,Explained billing breakdown and clarified applicable charges.,Medium,medium,Pending Customer,Web Form,Australia,Enterprise,0,3,34.21,9.17,No,No,3,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md']"
145751,Web Portal,Feature Request,account_access,I am unable to access my account after entering the correct credentials.,The issue was escalated to engineering and resolved in the latest patch.,Medium,medium,Closed,Web Form,Asia,Basic,0,4,46.61,88.55,Yes,No,3,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
178184,Analytics Dashboard,Subscription Cancellation,account_access,Two-factor authentication codes are not being delivered to my phone.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,medium,Closed,Social Media,Australia,Basic,17,4,10.98,179.25,Yes,No,9,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
112708,CRM Platform,Payment Problem,account_access,I am unable to access my account after entering the correct credentials.,Bug logged internally and workaround shared with the customer.,High,high,In Progress,Phone,Asia,Premium,17,5,26.71,238.24,No,Yes,6,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
43177,API Service,Performance Issue,account_access,I am unable to access my account after entering the correct credentials.,The issue was escalated to engineering and resolved in the latest patch.,Medium,medium,Pending Customer,Phone,Europe,Premium,10,2,44.12,118.59,Yes,No,2,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'account_access.md', 'escalation_policy.md']"
101002,Mobile App,Login Issue,billing_refund,There seems to be a discrepancy in my billing statement for this month.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,medium,In Progress,Social Media,Australia,Basic,17,1,0.64,158.94,Yes,No,10,Corporate,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
90935,Mobile App,Payment Problem,billing_refund,There seems to be a discrepancy in my billing statement for this month.,Security settings updated and customer notified of precautionary measures.,Low,low,In Progress,Social Media,South America,Basic,17,4,23.58,65.34,Yes,No,5,Corporate,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
25242,Mobile App,Account Suspension,billing_refund,There seems to be a discrepancy in my billing statement for this month.,Explained billing breakdown and clarified applicable charges.,Medium,medium,Resolved,Chat,South America,Free,1,4,18.26,30.47,Yes,Yes,4,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
192033,Mobile App,Security Concern,billing_refund,I would like to request a refund for the recent charge.,Subscription status corrected and confirmation email sent to customer.,Medium,medium,Closed,Web Form,Asia,Premium,20,5,60.98,65.8,No,No,9,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md']"
149854,Mobile App,Security Concern,billing_refund,I would like to request a refund for the recent charge.,Data synchronization restored after backend service restart.,Urgent,urgent,Open,Email,Africa,Enterprise,1,5,36.84,159.14,Yes,No,3,Small Business,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
104050,Mobile App,Account Suspension,billing_refund,There seems to be a discrepancy in my billing statement for this month.,Security settings updated and customer notified of precautionary measures.,Low,low,In Progress,Social Media,Australia,Enterprise,0,4,30.52,30.52,No,No,9,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md']"
12198,Subscription Service,Bug Report,billing_refund,I would like to request a refund for the recent charge.,Explained billing breakdown and clarified applicable charges.,Low,low,Resolved,Chat,Asia,Enterprise,17,3,34.69,136.14,Yes,No,4,Corporate,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
29695,Payment Gateway,Bug Report,billing_refund,I would like to request a refund for the recent charge.,We have reset the account credentials and advised the customer to retry login.,Urgent,urgent,Pending Customer,Social Media,South America,Premium,18,5,11.29,46.02,No,Yes,1,Small Business,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
199186,Payment Gateway,Security Concern,billing_refund,I would like to request a refund for the recent charge.,The duplicate charge was reversed and refund processed within 3-5 business days.,Low,low,Resolved,Phone,Europe,Enterprise,4,1,1.18,162.01,Yes,Yes,3,Small Business,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
25447,CRM Platform,Refund Request,billing_refund,The payment was deducted from my bank account but the transaction shows failed.,Payment gateway timeout issue fixed and monitoring implemented.,Urgent,urgent,Open,Email,Europe,Premium,3,4,8.09,93.14,No,No,6,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
199701,Web Portal,Login Issue,billing_refund,I would like to request a refund for the recent charge.,The issue was escalated to engineering and resolved in the latest patch.,Low,low,Resolved,Email,Australia,Premium,17,2,52.28,186.81,No,No,8,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md']"
199908,Subscription Service,Subscription Cancellation,billing_refund,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,High,high,Open,Social Media,Australia,Basic,7,4,10.03,210.51,Yes,Yes,1,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
53735,API Service,Feature Request,billing_refund,The payment was deducted from my bank account but the transaction shows failed.,Subscription status corrected and confirmation email sent to customer.,High,high,In Progress,Phone,Africa,Basic,13,1,18.51,96.15,No,No,3,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
7213,Billing System,Security Concern,billing_refund,The payment was deducted from my bank account but the transaction shows failed.,We have reset the account credentials and advised the customer to retry login.,Urgent,urgent,Open,Social Media,South America,Free,1,1,36.38,186.83,Yes,No,1,Corporate,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
153524,Subscription Service,Login Issue,billing_refund,There seems to be a discrepancy in my billing statement for this month.,The duplicate charge was reversed and refund processed within 3-5 business days.,Low,low,Resolved,Social Media,South America,Enterprise,15,4,51.17,167.02,Yes,Yes,10,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
118913,Analytics Dashboard,Security Concern,billing_refund,There seems to be a discrepancy in my billing statement for this month.,We have reset the account credentials and advised the customer to retry login.,High,high,Resolved,Email,Europe,Enterprise,1,5,22.5,4.88,No,Yes,4,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
99213,E-commerce Store,Data Sync Issue,billing_refund,The payment was deducted from my bank account but the transaction shows failed.,Bug logged internally and workaround shared with the customer.,Urgent,urgent,Open,Email,North America,Basic,12,4,22.48,129.19,Yes,Yes,10,Corporate,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
31666,Subscription Service,Subscription Cancellation,billing_refund,I would like to request a refund for the recent charge.,Payment gateway timeout issue fixed and monitoring implemented.,High,high,Resolved,Web Form,North America,Enterprise,9,5,46.42,104.34,Yes,No,2,Small Business,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
119372,Mobile App,Bug Report,billing_refund,The payment was deducted from my bank account but the transaction shows failed.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,medium,Resolved,Phone,South America,Premium,17,4,56.81,26.74,Yes,Yes,8,Small Business,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
75980,Mobile App,Login Issue,billing_refund,There seems to be a discrepancy in my billing statement for this month.,Security settings updated and customer notified of precautionary measures.,High,high,Resolved,Social Media,Asia,Enterprise,18,2,62.83,60.91,No,No,7,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
169095,Subscription Service,Account Suspension,billing_refund,The payment was deducted from my bank account but the transaction shows failed.,Bug logged internally and workaround shared with the customer.,High,high,Pending Customer,Chat,Africa,Free,17,1,53.76,54.51,No,No,2,Corporate,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
51512,Mobile App,Performance Issue,billing_refund,There seems to be a discrepancy in my billing statement for this month.,Security settings updated and customer notified of precautionary measures.,Low,low,In Progress,Social Media,Asia,Enterprise,4,3,48.78,134.13,Yes,No,6,Corporate,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
16981,Subscription Service,Account Suspension,billing_refund,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,low,Pending Customer,Chat,Europe,Enterprise,16,1,3.79,15.98,Yes,Yes,2,Individual,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
129449,E-commerce Store,Performance Issue,billing_refund,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,High,high,Open,Chat,Asia,Free,1,4,3.15,117.25,No,No,4,Small Business,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
88624,Web Portal,Login Issue,billing_refund,I would like to request a refund for the recent charge.,The issue was escalated to engineering and resolved in the latest patch.,Urgent,urgent,Closed,Chat,Asia,Premium,16,1,38.17,77.31,No,No,3,Small Business,billing_team,"['routing_rules.md', 'priority_rules.md', 'billing_refunds.md', 'escalation_policy.md']"
119488,Billing System,Payment Problem,subscription,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,medium,Resolved,Social Media,Australia,Free,12,4,5.81,86.46,No,Yes,5,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
197298,API Service,Performance Issue,subscription,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,urgent,Pending Customer,Chat,Africa,Basic,20,3,37.26,159.39,No,Yes,6,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
21853,Subscription Service,Data Sync Issue,subscription,My subscription was cancelled without my request and I need clarification.,We have reset the account credentials and advised the customer to retry login.,Medium,medium,Pending Customer,Chat,North America,Basic,0,5,33.94,238.39,No,No,7,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md']"
130319,Mobile App,Account Suspension,subscription,My subscription was cancelled without my request and I need clarification.,Explained billing breakdown and clarified applicable charges.,Low,low,Open,Email,South America,Basic,8,1,42.8,31.74,No,No,7,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md']"
72720,Web Portal,Payment Problem,subscription,My subscription was cancelled without my request and I need clarification.,Security settings updated and customer notified of precautionary measures.,High,high,In Progress,Phone,Europe,Basic,11,2,14.98,133.99,Yes,No,3,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
136890,Subscription Service,Feature Request,subscription,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,urgent,In Progress,Email,Africa,Free,10,4,59.47,21.72,Yes,No,4,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
178404,Billing System,Account Suspension,subscription,My subscription was cancelled without my request and I need clarification.,We have reset the account credentials and advised the customer to retry login.,Urgent,urgent,Closed,Chat,North America,Basic,11,1,10.64,115.29,Yes,Yes,6,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
102902,Mobile App,Account Suspension,subscription,My subscription was cancelled without my request and I need clarification.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,medium,Open,Web Form,Australia,Free,11,5,30.9,23.58,No,Yes,4,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
121291,API Service,Bug Report,subscription,My subscription was cancelled without my request and I need clarification.,The issue was escalated to engineering and resolved in the latest patch.,High,high,Pending Customer,Chat,North America,Enterprise,1,2,2.59,167.29,Yes,No,9,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
95919,E-commerce Store,Login Issue,subscription,My subscription was cancelled without my request and I need clarification.,Data synchronization restored after backend service restart.,Low,low,In Progress,Email,Africa,Basic,15,5,16.55,68.3,No,Yes,6,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
90086,API Service,Bug Report,subscription,My subscription was cancelled without my request and I need clarification.,Payment gateway timeout issue fixed and monitoring implemented.,Low,low,Resolved,Chat,Africa,Basic,10,2,12.75,77.74,Yes,No,8,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
96674,Payment Gateway,Subscription Cancellation,subscription,My subscription was cancelled without my request and I need clarification.,We have reset the account credentials and advised the customer to retry login.,Medium,medium,Resolved,Chat,South America,Premium,16,5,13.44,128.29,Yes,No,7,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
130516,Subscription Service,Security Concern,subscription,My subscription was cancelled without my request and I need clarification.,Bug logged internally and workaround shared with the customer.,Medium,medium,Resolved,Chat,Asia,Enterprise,16,4,35.67,84.96,No,Yes,1,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
82515,Billing System,Feature Request,subscription,My subscription was cancelled without my request and I need clarification.,Explained billing breakdown and clarified applicable charges.,Low,low,Resolved,Social Media,South America,Basic,16,3,42.48,101.0,Yes,No,8,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
127248,Mobile App,Subscription Cancellation,subscription,My subscription was cancelled without my request and I need clarification.,We have reset the account credentials and advised the customer to retry login.,High,high,Resolved,Chat,Europe,Free,10,1,3.79,117.17,No,Yes,8,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
119742,Analytics Dashboard,Bug Report,subscription,My subscription was cancelled without my request and I need clarification.,Security settings updated and customer notified of precautionary measures.,Medium,medium,Resolved,Web Form,Australia,Enterprise,0,5,1.64,78.7,Yes,Yes,1,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
112229,Analytics Dashboard,Security Concern,subscription,My subscription was cancelled without my request and I need clarification.,Subscription status corrected and confirmation email sent to customer.,High,high,Closed,Email,Australia,Enterprise,10,3,36.92,173.07,Yes,No,1,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
53996,CRM Platform,Performance Issue,subscription,My subscription was cancelled without my request and I need clarification.,Security settings updated and customer notified of precautionary measures.,Urgent,urgent,Pending Customer,Social Media,North America,Premium,7,1,30.95,23.65,No,Yes,10,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
70867,Mobile App,Data Sync Issue,subscription,My subscription was cancelled without my request and I need clarification.,Explained billing breakdown and clarified applicable charges.,Medium,medium,Open,Chat,Africa,Free,16,4,55.89,172.37,No,Yes,9,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
44702,Mobile App,Account Suspension,subscription,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,High,high,Pending Customer,Web Form,Africa,Enterprise,9,2,24.84,68.43,Yes,No,5,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
180515,CRM Platform,Feature Request,subscription,My subscription was cancelled without my request and I need clarification.,Explained billing breakdown and clarified applicable charges.,Urgent,urgent,Closed,Email,North America,Basic,3,3,15.62,195.33,Yes,No,4,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
132012,Web Portal,Bug Report,subscription,My subscription was cancelled without my request and I need clarification.,The issue was escalated to engineering and resolved in the latest patch.,Low,low,Resolved,Social Media,Asia,Premium,12,1,4.27,172.98,Yes,Yes,7,Corporate,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
119149,Mobile App,Security Concern,subscription,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,urgent,Resolved,Web Form,Europe,Premium,12,5,68.2,86.58,Yes,No,4,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
163481,Mobile App,Payment Problem,subscription,My subscription was cancelled without my request and I need clarification.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,urgent,Open,Web Form,Africa,Premium,16,1,58.77,180.64,No,Yes,8,Small Business,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
170449,Subscription Service,Feature Request,subscription,My subscription was cancelled without my request and I need clarification.,The issue was escalated to engineering and resolved in the latest patch.,Medium,medium,Closed,Social Media,Africa,Premium,11,2,56.27,143.93,Yes,No,9,Individual,support_l2,"['routing_rules.md', 'priority_rules.md', 'subscription_policy.md', 'escalation_policy.md']"
35766,Analytics Dashboard,Refund Request,technical_bug,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,Low,low,Pending Customer,Chat,North America,Free,8,1,24.6,35.06,Yes,Yes,7,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
40410,CRM Platform,Subscription Cancellation,technical_bug,The system is not syncing data across devices properly.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,high,Pending Customer,Phone,South America,Basic,10,2,8.16,29.18,Yes,No,8,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
99711,Analytics Dashboard,Data Sync Issue,technical_bug,The application crashes whenever I try to upload a file.,Data synchronization restored after backend service restart.,Urgent,urgent,Resolved,Chat,South America,Free,14,2,23.14,17.17,Yes,No,3,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
15663,Web Portal,Refund Request,technical_bug,I found a bug in the latest update affecting report generation.,Bug logged internally and workaround shared with the customer.,High,high,Resolved,Email,North America,Enterprise,1,3,1.8,211.12,Yes,Yes,10,Individual,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
105390,Mobile App,Bug Report,technical_bug,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,Low,low,Open,Web Form,Australia,Enterprise,9,5,3.84,90.7,No,Yes,2,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
173995,API Service,Refund Request,technical_bug,I am experiencing very slow performance while using the dashboard.,The issue was escalated to engineering and resolved in the latest patch.,Medium,medium,Closed,Social Media,South America,Basic,12,5,65.16,158.02,Yes,Yes,8,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
3871,E-commerce Store,Data Sync Issue,technical_bug,I am experiencing very slow performance while using the dashboard.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,high,Pending Customer,Phone,Europe,Premium,9,4,31.97,14.87,No,No,8,Individual,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
155649,Subscription Service,Payment Problem,technical_bug,I found a bug in the latest update affecting report generation.,Security settings updated and customer notified of precautionary measures.,Medium,medium,In Progress,Phone,Australia,Basic,8,5,56.65,114.28,Yes,Yes,3,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
66990,Payment Gateway,Feature Request,technical_bug,The application crashes whenever I try to upload a file.,Payment gateway timeout issue fixed and monitoring implemented.,High,high,In Progress,Social Media,North America,Premium,17,1,15.14,113.63,Yes,Yes,4,Corporate,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
19985,Cloud Storage,Login Issue,technical_bug,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,Medium,medium,Open,Phone,Europe,Free,16,2,39.33,233.43,No,Yes,10,Small Business,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
156099,CRM Platform,Payment Problem,technical_bug,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,Low,low,Pending Customer,Chat,Europe,Free,4,3,43.0,187.79,Yes,No,5,Individual,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
3668,API Service,Payment Problem,technical_bug,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,High,high,Open,Phone,Europe,Basic,16,1,51.66,200.29,Yes,Yes,1,Individual,technical_team,"['routing_rules.md', 'priority_rules.md', 'technical_bugs.md', 'escalation_policy.md']"
